 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2324-3215,28.312,1.760,0.397,0.750,2.348,21.806
2,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2325-3229,21.336,1.741,0.651,0.765,3.269,17.276
3,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2527-4760,31.184,2.206,0.448,1.292,3.267,26.930
4,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3089-4413,3.283,1.822,0.325,1.304,2.200,6.716
5,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3161-4102,46.776,3.207,0.996,1.188,5.167,25.274
6,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4032-3369,2.462,1.389,0.082,1.269,1.480,5.811
7,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4042-5633,21.747,3.434,0.480,2.400,4.462,17.651
8,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4330-4465,22.978,2.007,0.271,1.286,2.526,19.088
9,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6250-2243,86.986,2.836,0.628,1.500,4.234,34.397
10,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6405-3851,37.338,2.268,0.622,0.925,4.067,23.462
11,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6445-1121,0.821,2.680,0.343,2.438,2.923,3.843
12,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6446-1120,0.821,2.974,0.165,2.857,3.091,3.843
13,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6592-3104,4.103,2.390,0.323,1.905,2.875,7.622
14,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6593-3106,0.821,2.373,0.055,2.333,2.412,3.624
15,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6660-4314,31.184,2.292,0.474,1.222,3.444,21.806
16,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7282-5041,2.872,2.728,0.508,1.955,3.429,7.247
17,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7812-2474,67.702,5.387,1.418,2.857,9.818,29.868
18,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8009-5449,1.641,2.076,0.228,1.905,2.389,4.905
19,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8140-2535,7.386,3.628,0.828,2.294,5.000,9.434
20,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8185-2422,2.462,3.866,0.600,3.182,4.778,6.186
21,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8233-5708,14.361,2.860,0.298,2.312,3.643,14.339
22,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2211,15.182,2.624,0.308,2.000,3.312,15.089
23,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8371-4574,9.848,4.884,0.979,3.000,7.100,11.090
24,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015444.678,1.036,0.106,0.000,25.300,23728.782
