 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:0916-3483,3.283,2.335,0.333,1.786,2.800,5.811
2,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:0954-2401,14.361,3.698,0.475,2.765,4.846,13.808
3,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:1811-4040,1.641,2.910,0.350,2.467,3.273,5.435
4,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:2293-3240,35.287,1.791,0.346,1.176,3.167,22.181
5,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:2295-3256,20.105,1.734,0.453,1.029,3.000,16.370
6,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:2507-4780,45.955,2.530,0.734,1.133,4.500,26.775
7,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:3081-4439,0.410,2.769,0.000,2.769,2.769,2.562
8,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:3133-4113,56.213,3.918,1.447,1.321,7.222,27.991
9,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:3400-2928,4.924,2.567,0.297,2.158,3.067,11.776
10,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:4067-5751,25.439,3.176,0.420,2.438,4.533,19.088
11,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:4298-4519,37.338,1.990,0.450,1.243,3.267,23.837
12,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:5215-3200,7.386,3.859,0.450,3.000,4.500,10.185
13,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6227-2289,79.601,2.880,0.684,1.552,4.375,33.116
14,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6365-3903,27.081,2.325,0.310,1.783,3.524,19.088
15,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6441-1140,14.361,2.854,0.363,2.235,3.667,13.808
16,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6571-3146,0.410,3.000,0.000,3.000,3.000,2.562
17,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6573-3149,17.643,2.400,0.330,1.905,3.400,16.370
18,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6611-4369,43.493,2.122,0.610,1.115,4.000,24.743
19,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:6759-7399,2.052,2.087,0.245,1.696,2.278,7.247
20,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:7707-6461,0.410,2.053,0.000,2.053,2.053,2.562
21,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:7838-2515,61.137,5.640,1.827,2.250,9.562,29.272
22,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:8064-5567,2.052,1.742,0.230,1.542,2.100,4.905
23,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:8162-2575,6.155,3.096,0.709,2.333,4.500,8.528
24,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:8210-2461,7.386,4.138,0.557,3.071,4.909,9.434
25,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:8296-5815,21.747,3.038,0.438,2.278,4.462,17.276
26,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:8352-2250,21.747,2.688,0.323,2.087,3.444,16.746
27,Result of Before_GA3_A3 Region1_Merged_RAW_ch01.tif:8440-4686,9.027,5.081,1.250,2.812,7.333,11.090
