 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:00980-02608,13.540,4.776,1.354,2.643,7.917,13.277
2,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:01429-03998,0.410,4.167,0.000,4.167,4.167,2.562
3,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:01854-03420,28.312,4.468,0.576,3.278,6.000,19.838
4,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:01970-04828,18.054,4.459,0.668,3.154,6.000,16.370
5,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:02180-05049,52.520,4.927,0.938,2.750,7.133,26.930
6,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:02526-04106,6.975,4.101,0.603,2.579,5.154,9.434
7,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:02613-04676,22.567,4.311,0.896,2.182,5.706,18.182
8,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:02699-05271,6.565,2.890,0.260,2.294,3.267,9.434
9,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:02856-05853,9.848,3.278,1.292,1.375,5.556,11.621
10,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:03642-04383,16.823,5.135,1.799,1.955,8.923,15.840
11,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:03722-05886,25.029,4.221,0.457,3.267,5.385,19.619
12,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:03726-06994,6.155,3.683,0.606,2.700,4.667,8.903
13,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:03798-07307,6.565,5.385,0.859,4.125,6.667,9.059
14,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:03969-03209,18.054,4.733,0.928,2.727,6.625,15.089
15,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:03981-04094,5.334,4.244,0.503,3.444,4.875,7.622
16,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04096-03640,5.334,4.104,0.621,3.111,5.222,7.622
17,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04456-01741,15.592,3.851,0.705,2.619,5.273,14.183
18,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04540-07051,0.410,1.960,0.000,1.960,1.960,2.562
19,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04807-07329,4.103,2.790,0.408,2.000,3.429,6.716
20,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04853-01675,21.336,3.376,0.427,2.722,4.615,17.276
21,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04859-01674,0.410,2.778,0.000,2.778,2.778,2.562
22,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:04930-07358,14.771,3.405,0.650,2.097,4.875,14.183
23,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05084-09277,25.029,5.031,0.911,3.000,7.222,18.557
24,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05151-06029,15.182,4.907,1.170,3.182,8.000,14.559
25,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05152-06290,34.466,5.216,1.297,2.760,8.500,22.181
26,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05216-06801,0.821,3.250,0.354,3.000,3.500,3.624
27,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05272-07236,9.848,3.920,0.600,2.682,5.059,11.996
28,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05418-03744,13.951,4.360,0.568,3.417,5.583,12.902
29,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05516-02900,17.233,4.134,0.766,2.211,5.750,15.995
30,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05570-08270,0.410,2.333,0.000,2.333,2.333,2.562
31,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:05567-08269,27.081,2.396,0.465,1.536,3.786,19.994
32,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:06214-04544,2.052,5.504,1.699,3.692,8.222,4.905
33,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:06378-05003,2.462,4.015,0.428,3.545,4.545,6.406
34,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:06818-02097,36.518,4.619,1.144,2.269,6.862,25.869
35,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:06890-01496,4.103,4.477,0.452,3.636,5.222,7.092
36,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:07257-02434,7.386,2.532,0.467,1.839,3.632,9.279
37,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:07515-05215,1.231,3.050,0.447,2.550,3.412,3.624
38,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:07795-06721,27.901,3.637,0.593,2.500,5.111,18.933
39,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:08123-05142,6.565,2.926,0.353,2.259,3.524,9.279
40,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:08747-02493,14.771,5.757,1.581,3.636,9.091,13.808
41,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:09052-03452,20.516,4.336,0.711,2.880,5.833,17.651
42,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:09284-00681,25.439,4.437,1.521,2.136,8.700,19.994
43,Result of Before_GA3_B2 Region1_Merged_RAW_ch01.tif:10769-02005,45.955,5.993,2.059,1.613,13.667,25.118
