 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03212-01270,4.924,2.913,0.360,2.444,3.769,7.622
2,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03293-01294,4.513,4.278,0.344,3.846,5.000,7.247
3,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03668-01860,0.410,3.467,0.000,3.467,3.467,2.562
4,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03668-01857,6.975,4.281,0.528,3.467,5.143,11.090
5,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04331-01574,32.415,3.512,0.460,2.692,4.818,21.275
6,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04458-01522,4.924,4.059,0.494,3.250,4.700,8.903
7,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04594-01626,33.235,4.522,1.167,2.391,7.345,22.711
8,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04602-05320,0.410,4.727,0.000,4.727,4.727,2.562
9,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04603-05322,0.410,4.583,0.000,4.583,4.583,2.562
10,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04770-04007,12.720,4.199,1.072,2.227,6.375,14.183
11,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05379-01665,4.924,4.121,0.538,3.364,5.000,7.998
12,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05451-08547,21.336,5.457,1.463,2.538,8.900,16.370
13,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05517-01585,5.334,3.718,0.479,2.615,4.636,8.373
14,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05631-05034,9.027,3.332,0.652,2.056,5.000,10.715
15,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05720-02692,55.392,4.403,1.441,1.467,8.684,28.742
16,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05958-04501,5.744,2.481,0.228,2.045,2.889,8.528
17,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06187-01164,0.410,3.071,0.000,3.071,3.071,2.562
18,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06885-01523,18.464,3.927,0.813,1.714,5.059,15.089
19,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06907-03047,3.283,4.972,0.523,4.154,5.800,9.809
20,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07049-03801,29.953,3.293,0.509,2.233,4.214,19.994
21,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07482-03095,9.848,2.990,0.312,2.400,4.000,13.058
22,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07547-07483,17.233,5.171,0.992,3.562,7.071,15.245
23,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07643-01155,27.901,4.302,0.933,2.643,6.846,19.463
24,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02399,11.078,3.104,0.386,2.417,3.875,12.527
25,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08222-06200,25.850,4.104,0.892,2.125,6.083,18.182
26,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08780-03152,13.130,4.387,0.806,2.857,5.909,12.372
27,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08914-08234,16.002,3.815,0.560,2.714,4.833,14.714
28,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09264-05934,4.924,2.578,0.354,2.182,3.400,9.434
29,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09432-04934,134.583,4.240,1.440,1.941,9.810,44.957
30,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09506-04421,33.235,4.632,0.850,2.800,6.667,21.650
31,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09715-02990,33.646,4.672,1.349,2.190,7.933,21.495
32,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09816-02440,15.182,4.822,0.753,3.500,7.000,14.559
33,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09859-04350,19.695,4.650,1.138,2.667,7.778,15.840
34,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09906-07481,20.516,4.737,1.187,2.600,7.300,16.370
35,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086232.370,1.037,0.107,0.000,10.000,28567.547
36,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03214-01272,0.410,2.071,0.000,2.071,2.071,1.812
37,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03670-01858,8.206,3.365,1.008,1.364,4.750,11.621
38,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04329-01575,31.594,3.756,0.377,2.941,4.667,20.744
39,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04597-01625,32.415,4.834,1.181,2.556,7.370,22.025
40,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04607-05323,0.821,3.718,0.073,3.667,3.769,3.843
41,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04766-04003,13.540,3.834,0.532,2.667,5.000,16.901
42,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05255-01755,0.410,3.062,0.000,3.062,3.062,2.562
43,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05281-02307,1.641,4.759,0.116,4.636,4.900,4.905
44,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05378-01667,4.103,4.429,0.644,3.455,5.400,8.903
45,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,21.336,5.008,1.115,2.818,7.600,16.370
46,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05513-01583,5.744,3.533,0.376,3.000,4.417,7.998
47,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05621-05032,2.052,4.162,0.452,3.417,4.545,4.905
48,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05717-02694,64.419,4.184,0.885,2.048,6.059,29.803
49,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06184-01167,2.052,3.846,0.517,3.000,4.300,6.341
50,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06490-01584,0.410,3.667,0.000,3.667,3.667,2.562
51,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06491-01582,1.231,4.167,0.153,4.000,4.300,3.624
52,slice0002_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06884-01525,18.464,4.420,1.275,2.412,6.889,15.464
